"THE SOLAR SYSTEM","None","Objects that pass closer to the sun than Mercury have been named for this mythological figure","Icarus"
"OSCAR-WINNING FILMS","None","This 1995 double Oscar winner takes its title from a line used by Claude Rains in 1942's "Casablanca"","The Usual Suspects"
"FAMOUS AMERICANS","None","In 1785 he wrote that "After fifty years' service in public affairs", he wanted to "make plenty of experiments"","Benjamin Franklin"
"HIT SONGS","None","This No. 1 hit from 1968 was part of a hit film's soundtrack & was originally written about Eleanor Roosevelt","\"Mrs. Robinson\""
"THE PULITZER PRIZES","None","The first man to win the Pulitzer Prize for his film criticism, he's lobbied for a Pulitzer Prize for the movies","Roger Ebert"
"HISTORIC TITLES","None","Since 1578, only 14 men have held this title, including a 1989 Nobel Prize winner","The Dalai Lama"
"AMERICAN AUTHORS","None","He died at age 28,  just 5 years after his Civil War novel was published","Stephen Crane (\"The Red Badge of Courage\")"
"ACTRESSES","None","In 1999 Liz Smith quoted her as saying, "I look at the Empire State Building and I feel like it belongs to me"","Fay Wray"
"COUNTRIES OF THE WORLD","None","Before its independence, this country was known as the Netherlands East Indies","Indonesia"
"HISTORIC DATES","None","On this date a record 10,471 flags were flown above the U.S. Capitol, one at a time","July 4, 1976 (the Bicentennial)"
"NAME THE POEM","None",""He is all pine and I am apple orchard.  My apple trees will never get across and eat the cones under his pines"","\"Mending Wall\" (by Robert Frost)"
"PRESIDENTS","None","The last time there were no living ex-presidents was when this man was president","Richard Nixon"
"HOLIDAY STUFF","None","In an 1850 essay Charles Dickens called it "that pretty German toy"","a Christmas Tree"
"TREES","None","This type of tree that includes the pecan is common in the eastern U.S., is noted for toughness & can live to 300","Hickory"
"BRITISH ENTREPRENEURS","None","In 1839 Queen Victoria awarded him the first ever license to deliver mail across the Atlantic","(Samuel) Cunard"
"FAMOUS WOMEN","None","While a regular on Major Bowes' radio show, she said, "I'm 7 years old & I can sing 23 arias."","Beverly \"Bubbles\" Sills"
"BRAND NAMES","None","Benjamin Green's work with cocoa butter led to this brand that, ironically, may be used to prevent what's in its name","Coppertone"
"U.S. PRESIDENTS","None","Washington was the one who added these 4 words to the presidential oath; they're not in the Constitution","\"So Help Me God\""
"PRESIDENTS' HOMES","None","The exterior of the governor's mansion in Florida is modeled after the home of this president","Andrew Jackson"
"WORD HISTORY","None","A Roman legal term for a debtor sentenced to servitude is the origin of this term for a slave to a vice","addict"
"MUSEUMS","None","Its museums include the Borgia Apartments, the Etruscan Museum & the Raphael Rooms","The Vatican"
"THE SOCIAL SCIENCES","None","Coined in 1899, this word suggests that things like rivers & boundaries affect nations' foreign affairs","geopolitics"
"BUSINESS & INDUSTRY","None","This company's figures show about 7% of present U.S. work force got its start working for them","McDonald's"
"U.S. PRESIDENTS","None","He was the last man elected president who had served as a U.S. Senator","Richard M. Nixon"
"COLLEGE LIBRARIES","None","Built in memory of a victim of this tragedy, Harvard's Widener Library was opened in 1915","the sinking of the Titanic"
"THE OSCARS","None","The last movie in black & white to win Best Picture was this 1960 Billy Wilder film","The Apartment"
"ORGANIZATIONS","None","In 1901 Milwaukee, Detroit, Cleveland, Chicago, Boston, D.C., Baltimore & Philadelphia made up this; Tampa Bay joined in 1998","the American League"
"19th CENTURY NAMES","None","Once known as "the handsomest man in America", he performed his last play, "The Apostate", on March 18, 1865","John Wilkes Booth"
"CANADIAN POSTAL ABBREVIATIONS","None","It's the only Canadian province or territory whose 2-letter postal abbreviation is a preposition","Ontario"
"WORLD LITERATURE","None",""If he has a conscience he will suffer for his mistake" refers to a murderer in this 1866 novel","Crime and Punishment"
"FILMS OF THE '60s","None","Peter O'Toole was Oscar-nominated for playing the same king in these 2 movies","Becket & The Lion in Winter"
"WORLD TRADE","None","Of all fresh fruits, the U.S. imports more of this one than any other","bananas"
"GEM LORE","None","In Greek myth this gem was "created" by tears of wine from Dionysus that stained the quartz statue of a maiden","the amethyst"
"POETS","None","Fired from a job for laziness, he wrote, "I lean and loafe at my ease observing a spear of summer grass"","Walt Whitman"
"THE WESTERN HEMISPHERE","None","This nation lost its direct access to the Pacific around 1880 but retains a navy that patrols its rivers & a large lake","Bolivia"
"POLITICAL ANAGRAMS","None","20th century world leader whose name is an anagram of "That Great Charmer"","Margaret Thatcher"
"ARTISTS","None","2 of his major works are "Synagogue at Safed" (1931) & "King David" (1951)","Chagall"
"NOVEL TITLES","None",""In the souls of the people" these "are filling and growing heavy, growing heavy for the vintage"","The Grapes of Wrath"
"HISTORIC AMERICANS","None","He was the proprietor of the "classical and geological hippodrome" that became Madison Square Garden","P.T. Barnum"
"U.S. POLITICS","None","A member of this family has spoken at every Democratic National Convention since 1956","the Kennedys"
"ON THE GLOBE","None","The way this nation's coastline would fit neatly into the Gulf of Guinea supports the theory of continental drift","Brazil"
"LITERATURE","None","This 1877 novel was written "to induce kindness, sympathy and an understanding treatment of horses"","Black Beauty"
"LEADING MEN OF THE MOVIES","None","This actor who turned down the role of Dirty Harry played 142 leading roles, a Guinness record","John Wayne"
"WORDS FROM THE FRENCH","None","The first known use of this word in the U.S. was in an obituary for wealthy banker Pierre Lorillard in 1843","millionaire"
"HISTORIC BOOKS","None","Published in 1611, the Pilgrims in 1620 refused to bring it to America; they brought the Geneva version","King James Bible"
"WORLD CAPITALS","None","Lucio Costa designed this new capital in 1957 to hold 500,000 people; today it has more than 3 times that number","Brasilia, Brazil"
"POLITICAL WORDS","None","16th century British farmers notching their livestock for identification led to this term for an item set aside for a specific purpose","earmark"
"FAMOUS NAMES","None","One of his early engineering projects was an iron bridge over the Garonne River at Bordeaux in 1858","Gustave Eiffel"
"THE PRESIDENCY","None","From the same state, they're the 2 presidents whose occupations are listed by World Book as "planter"","George Washington & Thomas Jefferson"
"U.S. BODIES OF WATER","None","These 2 Great Lakes each border 4 U.S. states","Lake Michigan & Lake Erie"
"AUTHORS","None","This author whose 1st name is also an English word meaning a saying or motto was the 1st president of the Soviet writers' union","Maxim Gorky"
"HISTORIC SHIPS","None","The state silver serving pieces in Augusta's executive mansion were salvaged from this ship","U.S.S. Maine"
"BRAND NAMES","None","This office supply product caught on in the Depression because it made worn & tattered items last longer","Scotch Tape"
"RELIGIOUS TITLES","None","In 1996 the Roman Catholic church had 48 men with this title in the U.S.; the Anglican church has 2 in England","Archbishop"
"ASSASSINATIONS","None","For a short time, Diego Rivera was a suspect in the 1940 murder of this man","Leon Trotsky"
"ACADEMY AWARD NOMINATIONS","None","2nd only to Walt Disney's 59, this composer's 45 nominations include the "The Towering Inferno" & "Saving Private Ryan"","John Williams"
"TOURIST ATTRACTIONS","None","It occupies the 78 acres of land where Met Stadium, former home of the Vikings & Twins, once stood","the Mall of America"
"NOVELS","None","It was partly inspired by Owen Chase's narrative of the shipwreck of the whale-ship Essex","Moby-Dick"
"U.S. PRESIDENTS","None","As a senator, he shared lodgings with future vice president William Rufus Devane King","James Buchanan"
"FORMER WORLD CAPITALS","None","In 1998 Czar Nicholas II & his wife Alexandra were laid to rest in this city","St. Petersburg"
"WORD & PHRASE ORIGINS","None","This phrase meaning the aristocracy is derived from the part of a loaf served to honored guests","the upper crust"
"EUROPEAN RULERS","None","This man who became a ruler in April 2005 is the great-nephew of the 1926 winner of the Pulitzer Prize for Drama","Prince Albert II of Monaco"
"1930s FILMS","None","In this classic film, one of the characters tries to quote the Pythagorean theorem but gets it wrong","The Wizard of Oz"
"PRESIDENTS ON FILM","None","Filmed signing a bill into law, in 1895 he became the first U.S. president to appear on moving film","Grover Cleveland"
"FROM NOVEL TO FILM","None","First published in 1880 & made into a film in 1907, 1925 & 1959, it was the first work of fiction blessed by a pope","Ben-Hur"
"COLLEGES & UNIVERSITIES","None","Henry Moore's sculpture, "Nuclear Energy", can be seen on the campus of this university","the University of Chicago"
"AMERICANA","None","This Monsanto product was developed as a covering to turn asphalt lots in urban areas into playgrounds","AstroTurf"
"MAGAZINES","None","The 2 major literary monthlies founded in the 1850s that survive today","The Atlantic Monthly & Harpers"
"RULERS","None","Last name of the last man to sit in power on the Peacock Throne","(Shah Reza) Pahlevi (of Iran)"
"THE 20th CENTURY","None","In the 1940s Franklin Roosevelt coined this term in reference to all the countries allied against the Axis powers","United Nations"
"BUSINESS & INDUSTRY","None",""America's Favorite Food", a book about this company, contains 12 pages of Andy Warhol's art","Campbell Soup Company"
"ANIMALS","None","The German name for this animal is nilpferd, or "Nile horse"","hippopotamus"
"AMERICAN LITERATURE","None","It contains the line "There stood the Kaatskill Mountains...there was every hill and dale...as it had always been"","Rip Van Winkle"
"U.S. CITIES","None","The 34 peaks of the roof of this city's airport represent mountains that are about 30 miles away","Denver"
"BIBLICAL PLACE NAMES","None","In "Return of the Jedi", a planet shares its name with this home of a woman who summons a spirit for Saul","Endor"
"MNEMONIC DEVICES","None","A traditional mnemonic device for remembering these begins, "Willie, Willie, Harry, Stee, Harry, Dick, John, Harry Three"","English monarchs"
"COLONIAL AMERICAN GOVERNMENT","None","From the Latin for "fortified town", this term later referred to a person--the representative of a town or borough","burgess"
"FOOD & DRINK HISTORY","None","The world's first pure food & beverage law, one pertaining to beer, was proclaimed by the Duke of this region in 1516","Bavaria"
"19th CENTURY BOOKS","None","Its author called it "a Ghostly little book... which shall not put my readers out of humour... with the season"","A Christmas Carol"
"AMERICAN THEATRE HISTORY","None","This 1943 musical is based on a 1931 play that featured Tex Ritter as a cowboy & Lee Strasberg as a peddler","Oklahoma!"
"1990s GEOGRAPHY","None","In area, it's now the largest country whose boundaries are wholly within Europe","Ukraine"
"19th CENTURY FICTIONAL CHARACTERS","None","This title horror character was created by its author at 6 Royal Crescent in the resort of Whitby in Yorkshire","Dracula (created by Bram Stoker)"
"BUSINESS & INDUSTRY","None","Founded as Pacific Aero Products in 1916, today this company is America's largest exporter, in total revenue","Boeing"
